date,temp_min,temp_avg,temp_max,humidity_min,humidity_avg,humidity_max,windspeed_avg,precip,solar_radiation_avg,ETo,humedad_sonda
2023-01-04,1.5,7.6,16.7,45.0,83.0,99.0,0.2,0.0,11.4,0.5900952989396417,15.812416666666666
2023-01-16,3.4,6.2,10.0,57.0,75.0,87.0,3.7,0.0,11.0,0.980011565022897,14.2265625
2023-01-28,-3.5,1.7,10.4,21.0,53.0,72.0,0.5,0.0,13.9,0.7556589290591271,13.2945
2023-02-09,3.6,5.6,9.1,70.0,91.0,99.0,0.6,0.6,7.5,0.8586476492249012,18.11339583333333
2023-02-21,4.6,11.1,20.0,30.0,67.0,93.0,0.2,0.3,13.6,1.4408998221585465,17.859458333333333
2023-03-05,-1.0,7.6,18.1,18.0,54.0,99.0,0.7,1.9,11.7,1.481103249922742,14.001395833333332
2023-03-17,4.4,11.9,22.1,19.0,47.0,70.0,1.3,0.0,20.4,2.6155403305301377,12.444375
2023-03-29,2.2,11.0,25.1,10.0,39.0,88.0,0.0,0.0,25.1,2.7908962026102824,11.135979166666669
2023-04-10,10.4,19.5,30.1,10.0,23.0,46.0,0.9,0.0,25.0,3.628086726316325,9.7573125
2023-04-22,9.1,16.6,24.4,24.0,46.0,70.0,0.8,0.0,20.2,3.2029337067577344,8.612416666666666
2023-05-04,9.1,18.0,27.8,12.0,37.0,54.0,0.7,0.0,25.8,3.905397682307032,7.727020833333333
2023-05-16,10.0,17.4,28.8,10.0,34.0,73.0,0.8,0.0,30.5,4.692802777271561,15.575145833333332
2023-05-28,11.6,19.6,28.5,28.0,57.5,84.0,1.4,0.0,14.2,3.0515883035118896,28.136416666666666
2023-06-09,16.8,20.6,25.5,37.0,73.0,99.0,1.1,0.3,26.3,4.731404946392503,27.806729166666667
2023-06-21,17.8,22.5,30.9,29.0,56.0,76.0,0.8,0.0,19.0,3.815566954842299,15.358875
2023-07-03,16.4,24.5,32.8,28.0,54.0,76.0,0.5,0.0,30.0,5.366700558211954,12.091625
2023-07-15,19.4,27.7,37.9,10.0,34.0,86.0,0.6,0.0,30.3,5.531215933808048,8.580208333333333
2023-08-08,19.5,26.2,36.1,18.0,57.0,90.0,0.2,0.0,25.2,4.562581250510171,6.0248333333333335
2023-08-20,16.9,26.5,37.1,10.0,36.0,52.0,0.4,0.0,26.2,4.122430399395829,5.186
2023-09-01,13.0,20.6,30.1,24.0,55.0,79.0,0.4,0.0,21.1,3.367007668954437,17.024083333333333
2023-09-13,17.0,21.0,29.2,32.0,74.0,97.0,0.7,7.8,18.3,3.158933247023384,17.090333333333334
2023-09-25,8.9,18.1,27.3,22.0,68.0,94.0,0.8,0.0,21.9,2.937021000896185,15.980833333333337
2023-10-07,8.5,17.8,28.0,24.0,62.0,89.0,1.2,0.0,19.6,2.6092756285426164,12.3623125
2023-10-19,11.4,16.3,21.8,50.0,70.0,92.0,2.6,4.5,11.4,1.866131313257068,10.767854166666666
2023-10-31,4.5,10.7,13.8,44.0,68.0,92.0,0.7,0.2,5.8,0.8971195901716568,11.394583333333337
2023-11-12,9.9,13.6,19.5,54.0,76.0,91.0,2.8,0.0,14.2,1.523804339479022,10.563041666666669
2023-11-24,2.5,8.3,16.8,22.0,49.0,70.0,1.8,0.0,12.3,1.0061336277229207,9.515645833333332
2023-12-06,4.7,8.0,10.8,80.0,89.0,96.0,0.8,2.2,3.1,0.5590122345405625,9.285270833333334
2023-12-18,-6.0,2.1,13.0,43.0,67.0,88.0,0.7,0.0,9.3,0.5280108764737167,9.324625
2023-12-30,3.3,9.5,16.0,18.0,39.0,68.0,1.4,0.0,9.3,0.7735942484988665,9.110666666666669
